state,from_date,to_date,ipc_total_number,ipc_phase3plus_number,ipc_phase4_number,ipc_phase5_number,ipc_phase3plus_pct,ipc_phase4_pct,ipc_phase5_pct
Upper Nile,2020-05-01,2020-07-31,1377076,917351,290877,0,0.666158585292315,0.21122799322622718,0.0
Upper Nile,2020-10-01,2020-11-30,1459701,846000,234000,0,0.579570747707921,0.16030680255751006,0.0
Upper Nile,2020-12-01,2021-03-31,1459701,858000,224000,0,0.5877916093775369,0.15345608449949683,0.0
Upper Nile,2021-04-01,2021-07-31,1459701,1035000,346000,0,0.7090493190043714,0.23703484480725848,0.0
Upper Nile,2022-02-01,2022-03-31,1522253,825834,328462,0,0.5425077171797329,0.2157735934828179,0.0
Upper Nile,2022-04-01,2022-07-31,1522253,997576,410249,0,0.6553286477346407,0.26950119329704064,0.0
Upper Nile,2022-10-01,2022-11-30,1525146,853199,252189,0,0.5594211963969351,0.16535400545259274,0.0
Upper Nile,2022-12-01,2023-03-31,1525146,860818,238784,0,0.5644167837046421,0.15656468298772708,0.0
Upper Nile,2023-04-01,2023-07-31,1525146,1014683,375170,0,0.6653022071329564,0.24598956427778063,0.0
Upper Nile,2023-09-01,2023-11-30,813209,455618,102010,0,0.5602717136677041,0.1254413072162261,0.0
Upper Nile,2023-12-01,2024-03-31,813209,464998,110391,0,0.5718062638263964,0.13574739089213228,0.0
Upper Nile,2024-04-01,2024-07-31,813209,541060,144592,0,0.665339414590837,0.1778042299089164,0.0
Upper Nile,2024-09-01,2024-11-30,1570900,898000,237000,10000,0.5716468266598765,0.15086892863963333,0.006365777579731364
Upper Nile,2024-12-01,2025-03-31,1570894,797000,206000,0,0.5073544109277902,0.13113551901019418,0.0
Upper Nile,2025-04-01,2025-07-31,1570894,1024000,328000,10000,0.6518581139147517,0.2087983021133189,0.006365801893698748
Upper Nile,2025-09-01,2025-11-30,2224708,1272537,321945,16483,0.5720018087767024,0.14471337362026837,0.007409062222997355
Upper Nile,2025-12-01,2026-03-31,2224708,1258698,330763,16483,0.5657812171305178,0.14867703986320902,0.007409062222997355
Upper Nile,2026-04-01,2026-07-31,2224708,1447317,487911,16483,0.6505649280714593,0.21931462466085436,0.007409062222997355
Warrap,2017-01-01,2017-01-31,1321162,259640,66058,0,0.1965239690514865,0.04999992430905521,0.0
Warrap,2017-02-01,2017-04-30,1321162,273625,66058,0,0.20710934768029962,0.04999992430905521,0.0
Warrap,2017-05-01,2017-05-31,1321163,452265,103500,0,0.34232339234447223,0.0783400685608059,0.0
Warrap,2017-05-01,2017-07-31,1321162,325832,73040,0,0.24662531922655964,0.05528466607425887,0.0
Warrap,2017-06-01,2017-07-31,1321163,640215,157959,0,0.48458441539764585,0.1195605689835395,0.0
Warrap,2017-09-01,2017-09-30,1366376,723425,271839,0,0.5294479703976065,0.1989488983998548,0.0
Warrap,2017-10-01,2017-12-31,1366376,394902,88078,0,0.28901415130242336,0.064461026833024,0.0
Warrap,2018-01-01,2018-01-31,1390597,626208,86060,0,0.4503159434401196,0.06188708878273145,0.0
Warrap,2018-01-01,2018-03-31,1366376,390486,85387,0,0.285782244418813,0.062491583575823934,0.0
Warrap,2018-02-01,2018-04-30,1390597,744870,211364,0,0.53564763910752,0.15199515028437427,0.0
Warrap,2018-05-01,2018-07-31,1390597,843992,280894,0,0.6069278158948999,0.2019952581517147,0.0
Warrap,2018-09-01,2018-09-30,1390597,735925,205096,0,0.529215150039875,0.14748773368560408,0.0
Warrap,2018-10-01,2018-12-31,1390597,208590,69530,0,0.15000032360202128,0.05000010786734043,0.0
Warrap,2019-01-01,2019-01-31,1443023,582308,79267,0,0.4035334156143041,0.054931210382648095,0.0
Warrap,2019-01-01,2019-03-31,1443023,378448,144304,0,0.26226054608970195,0.10000117808240062,0.0
Warrap,2019-02-01,2019-04-30,1443023,632382,151420,0,0.4382341792195966,0.10493249241349584,0.0
Warrap,2019-05-01,2019-07-31,1443023,745114,224959,0,0.5163562881534113,0.1558942580956783,0.0
Warrap,2019-08-01,2019-08-31,1222397,710965,160296,0,0.581615465352091,0.13113252077680165,0.0
Warrap,2019-09-01,2019-12-31,1222397,264666,74235,0,0.2165139475964028,0.06072904301957548,0.0
Warrap,2020-01-01,2020-01-31,1222397,436587,95113,0,0.35715647207903817,0.07780860064283535,0.0
Warrap,2020-01-01,2020-04-30,1222397,524560,122240,0,0.42912408980061306,0.10000024541945048,0.0
Warrap,2020-02-01,2020-04-30,1222397,543108,150768,0,0.44429755635853163,0.1233379990297751,0.0
Warrap,2020-05-01,2020-07-31,1222397,652537,211888,0,0.5338175731779446,0.17333812173950033,0.0
Warrap,2020-10-01,2020-11-30,1262488,699000,260000,13000,0.5536686289295423,0.2059425515331631,0.010297127576658155
Warrap,2020-12-01,2021-03-31,1262488,647000,230000,0,0.5124801186229097,0.18217994943318272,0.0
Warrap,2021-04-01,2021-07-31,1262488,777000,282000,13000,0.6154513943894913,0.22336845973981534,0.010297127576658155
Warrap,2022-02-01,2022-03-31,1248033,785613,384963,0,0.6294809512248474,0.30845578602488877,0.0
Warrap,2022-04-01,2022-07-31,1330782,876823,447364,0,0.6588780130780248,0.3361662541272725,0.0
Warrap,2022-10-01,2022-11-30,1296510,740170,327326,0,0.5708941697325898,0.25246700758189294,0.0
Warrap,2022-12-01,2023-03-31,1379259,746299,332851,0,0.5410869169604838,0.2413259583587999,0.0
Warrap,2023-04-01,2023-07-31,1379259,885037,412894,0,0.6416757113783561,0.2993592936497061,0.0
Warrap,2023-09-01,2023-11-30,2773445,1049714,224567,0,0.37848740465377895,0.08097041765746212,0.0
Warrap,2023-12-01,2024-03-31,2773445,1237361,363240,0,0.4461458583097916,0.13097068807926604,0.0
Warrap,2024-04-01,2024-07-31,2773445,1534987,501912,0,0.5534586047316604,0.18097059793866474,0.0
Warrap,2024-09-01,2024-11-30,1335405,525000,158000,0,0.39313916003010324,0.11831616625667868,0.0
Warrap,2024-12-01,2025-03-31,1335402,656000,224000,0,0.49123784448428265,0.1677397517751209,0.0
Warrap,2025-04-01,2025-07-31,1335402,791000,291000,0,0.5923309984558957,0.21791190967214366,0.0
Warrap,2025-09-01,2025-11-30,1401874,472895,95135,0,0.3373306017516553,0.06786273231403107,0.0
Warrap,2025-12-01,2026-03-31,1401874,587849,165228,0,0.41933083857750414,0.1178622329824221,0.0
Warrap,2026-04-01,2026-07-31,1401874,711799,249344,0,0.5077481999095497,0.17786477244031917,0.0
Western Bahr el Ghazal,2017-01-01,2017-01-31,545566,131498,20182,0,0.2410304161183065,0.036992774476415316,0.0
Western Bahr el Ghazal,2017-02-01,2017-04-30,545566,190714,17726,0,0.34957090434521215,0.032491027666680106,0.0
Western Bahr el Ghazal,2017-05-01,2017-05-31,545565,184805,25524,0,0.3387405717008972,0.046784526133457974,0.0
Western Bahr el Ghazal,2017-05-01,2017-07-31,545566,271134,137454,0,0.49697745094085777,0.2519475187236741,0.0
Western Bahr el Ghazal,2017-06-01,2017-07-31,545565,299021,55609,0,0.5480941775957036,0.10192919267181728,0.0
Western Bahr el Ghazal,2017-09-01,2017-09-30,526261,383664,147197,13865,0.7290374928030008,0.2797034171257228,0.026346242643859225
Western Bahr el Ghazal,2017-10-01,2017-12-31,526261,351518,159645,16638,0.6679537339837077,0.30335707947197305,0.03161549117263107
Western Bahr el Ghazal,2018-01-01,2018-01-31,542050,233055,17494,0,0.4299511115210774,0.03227377548196661,0.0
Western Bahr el Ghazal,2018-01-01,2018-03-31,526261,380747,157795,19411,0.7234946157895037,0.2998417135223777,0.036884739701402915
Western Bahr el Ghazal,2018-02-01,2018-04-30,542050,283025,48198,0,0.5221381791347661,0.0889179964947883,0.0
Western Bahr el Ghazal,2018-05-01,2018-07-31,542050,325805,89581,2856,0.6010607877502075,0.16526335208929066,0.005268886634074347
Western Bahr el Ghazal,2018-09-01,2018-09-30,542050,328808,92437,0,0.6066008670786828,0.170532238723365,0.0
Western Bahr el Ghazal,2018-10-01,2018-12-31,542050,225753,24545,0,0.4164800295175722,0.04528180057190296,0.0
Western Bahr el Ghazal,2019-01-01,2019-01-31,562485,289740,77676,0,0.5151070695218539,0.13809434918264488,0.0
Western Bahr el Ghazal,2019-01-01,2019-03-31,562485,193974,10188,0,0.3448518627163391,0.018112482999546653,0.0
Western Bahr el Ghazal,2019-02-01,2019-04-30,562485,258587,73045,0,0.45972248148839523,0.12986124074419764,0.0
Western Bahr el Ghazal,2019-05-01,2019-07-31,562485,281618,81256,0,0.5006675733575118,0.14445896335013378,0.0
Western Bahr el Ghazal,2019-08-01,2019-08-31,646245,427898,74554,0,0.6621296876571579,0.11536491578271399,0.0
Western Bahr el Ghazal,2019-09-01,2019-12-31,646245,300811,50969,0,0.4654751680864069,0.07886946900943141,0.0
Western Bahr el Ghazal,2020-01-01,2020-01-31,646245,200219,18656,0,0.30981903148186835,0.028868308458866218,0.0
Western Bahr el Ghazal,2020-01-01,2020-04-30,646245,276336,18656,0,0.42760253464243436,0.028868308458866218,0.0
Western Bahr el Ghazal,2020-02-01,2020-04-30,646245,235441,21565,0,0.36432158082460986,0.03336969725104256,0.0
Western Bahr el Ghazal,2020-05-01,2020-07-31,646245,297157,40222,0,0.45982096573281034,0.062239553110662364,0.0
Western Bahr el Ghazal,2020-10-01,2020-11-30,646729,268000,70000,0,0.4143930456187986,0.10823698952729814,0.0
Western Bahr el Ghazal,2020-12-01,2021-03-31,646729,189000,37000,0,0.29223987172370497,0.05721098017871473,0.0
Western Bahr el Ghazal,2021-04-01,2021-07-31,646729,280000,54000,0,0.43294795810919257,0.08349710620677285,0.0
Western Bahr el Ghazal,2022-02-01,2022-03-31,662897,195890,63312,0,0.29550593832827726,0.09550805027025315,0.0
Western Bahr el Ghazal,2022-04-01,2022-07-31,662897,262182,96458,0,0.39550940794723766,0.14550978507973336,0.0
Western Bahr el Ghazal,2022-10-01,2022-11-30,664156,266793,49244,0,0.4017023109028602,0.07414523093971898,0.0
Western Bahr el Ghazal,2022-12-01,2023-03-31,664156,222380,16037,0,0.3348309734459976,0.024146435476002627,0.0
Western Bahr el Ghazal,2023-04-01,2023-07-31,664156,316038,63432,0,0.4758490475129337,0.09550768193014894,0.0
Western Bahr el Ghazal,2023-09-01,2023-11-30,562554,273997,54393,0,0.48705902011184704,0.09668938448575604,0.0
Western Bahr el Ghazal,2023-12-01,2024-03-31,562554,186470,26266,0,0.3314704010637201,0.04669062881074528,0.0
Western Bahr el Ghazal,2024-04-01,2024-07-31,562554,276270,72097,0,0.4910995211126399,0.12816014107090165,0.0
Western Bahr el Ghazal,2024-09-01,2024-11-30,684081,256000,26000,0,0.3742246897662704,0.038007195054386836,0.0
Western Bahr el Ghazal,2024-12-01,2025-03-31,684079,187000,6000,0,0.2733602405570117,0.008770916809315884,0.0
Western Bahr el Ghazal,2025-04-01,2025-07-31,684079,276000,41000,0,0.4034621732285306,0.059934598196991866,0.0
Western Bahr el Ghazal,2025-09-01,2025-11-30,746534,128924,0,0,0.17269675594145745,0.0,0.0
Western Bahr el Ghazal,2025-12-01,2026-03-31,746534,105374,0,0,0.14115097236026758,0.0,0.0
Western Bahr el Ghazal,2026-04-01,2026-07-31,746534,257613,37325,0,0.3450787238089625,0.04999772280967779,0.0
Western Equatoria,2017-01-01,2017-01-31,705821,55457,0,0,0.07857091245514089,0.0,0.0
Western Equatoria,2017-02-01,2017-04-30,705821,100444,0,0,0.1423080356067615,0.0,0.0
Western Equatoria,2017-05-01,2017-05-31,812341,128702,23618,0,0.15843346574898964,0.02907399724992337,0.0
Western Equatoria,2017-05-01,2017-07-31,705821,123946,4675,0,0.17560542970526521,0.006623492358544163,0.0
Western Equatoria,2017-06-01,2017-07-31,812341,105089,19682,0,0.1293656235497162,0.024228741378312803,0.0
Western Equatoria,2017-09-01,2017-09-30,733340,203658,56182,0,0.2777129298824556,0.0766111217170753,0.0
Western Equatoria,2017-10-01,2017-12-31,733340,168194,31857,0,0.2293533695148226,0.04344096871846619,0.0
Western Equatoria,2018-01-01,2018-01-31,760462,150010,3498,0,0.1972616646196654,0.004599835363239714,0.0
Western Equatoria,2018-01-01,2018-03-31,733340,124610,11572,0,0.16992118253470423,0.015779856546758664,0.0
Western Equatoria,2018-02-01,2018-04-30,760462,234299,47168,0,0.30810086500048656,0.0620254529483393,0.0
Western Equatoria,2018-05-01,2018-07-31,760462,243688,45000,0,0.32044730703177804,0.05917455441560525,0.0
Western Equatoria,2018-09-01,2018-09-30,762002,323417,44586,0,0.4244306445389907,0.05851165744971798,0.0
Western Equatoria,2018-10-01,2018-12-31,762002,127893,4262,0,0.1678381421571072,0.0055931611728053205,0.0
Western Equatoria,2019-01-01,2019-01-31,790729,259953,32891,0,0.32875106389167463,0.041595793249014516,0.0
Western Equatoria,2019-01-01,2019-03-31,790729,91396,13286,0,0.11558447963840962,0.0168022166886506,0.0
Western Equatoria,2019-02-01,2019-04-30,790729,265246,40694,0,0.33544488693345004,0.051463902297753085,0.0
Western Equatoria,2019-05-01,2019-07-31,790729,294087,45594,0,0.37191882427481476,0.05766071561811948,0.0
Western Equatoria,2019-08-01,2019-08-31,861331,263829,69041,0,0.3063038483463384,0.08015617689366805,0.0
Western Equatoria,2019-09-01,2019-12-31,861331,88359,9052,0,0.10258425622670031,0.010509316395206953,0.0
Western Equatoria,2020-01-01,2020-01-31,861331,128473,10155,0,0.14915636381367905,0.011789892619678149,0.0
Western Equatoria,2020-01-01,2020-04-30,861331,62715,0,0,0.07281172975313788,0.0,0.0
Western Equatoria,2020-02-01,2020-04-30,861331,162388,10155,0,0.1885314704799897,0.011789892619678149,0.0
Western Equatoria,2020-05-01,2020-07-31,861331,81041,2207,0,0.09408810317984607,0.002562313442799574,0.0
Western Equatoria,2020-10-01,2020-11-30,914326,168000,12000,0,0.1837419038723606,0.013124421705168615,0.0
Western Equatoria,2020-12-01,2021-03-31,914326,80000,2000,0,0.0874961447011241,0.0021874036175281025,0.0
Western Equatoria,2021-04-01,2021-07-31,914326,123000,29000,0,0.13452532247797833,0.03171735245415749,0.0
Western Equatoria,2022-02-01,2022-03-31,944431,333769,103821,5955,0.3534075014479618,0.10992968252842188,0.006305383876641067
Western Equatoria,2022-04-01,2022-07-31,944431,376942,121449,0,0.3991207404246578,0.12859488940960218,0.0
Western Equatoria,2022-10-01,2022-11-30,968956,279070,62421,0,0.2880110139160086,0.06442088185634848,0.0
Western Equatoria,2022-12-01,2023-03-31,968956,207269,30340,0,0.21390960993068828,0.031312051321215825,0.0
Western Equatoria,2023-04-01,2023-07-31,968956,380099,73953,0,0.39227684229211646,0.0763223510665087,0.0
Western Equatoria,2023-09-01,2023-11-30,663235,120152,4604,0,0.18116052379624115,0.006941732568395817,0.0
Western Equatoria,2023-12-01,2024-03-31,663235,126333,9208,0,0.19047999577826863,0.013883465136791635,0.0
Western Equatoria,2024-04-01,2024-07-31,663235,173111,17822,0,0.2610100492284032,0.026871320120319345,0.0
Western Equatoria,2024-09-01,2024-11-30,996180,219000,28000,0,0.21983978799012227,0.028107370153988235,0.0
Western Equatoria,2024-12-01,2025-03-31,996174,153000,7000,0,0.15358762625806335,0.0070268848614800225,0.0
Western Equatoria,2025-04-01,2025-07-31,996174,259000,31000,0,0.25999473987476085,0.03111906152941153,0.0
Western Equatoria,2025-09-01,2025-11-30,1026173,175317,21455,0,0.17084546173013712,0.0209077806568678,0.0
Western Equatoria,2025-12-01,2026-03-31,1026173,111276,7167,0,0.10843785599504177,0.0069842024687845035,0.0
Western Equatoria,2026-04-01,2026-07-31,1026173,272966,55299,0,0.26600388043731416,0.053888574343702283,0.0
